file,Oracle,SS,Random,GB,FM,MSAD,MSAD (ID),MSAD (OOD),SATzilla,SATzilla (ID),SATzilla (OOD),UReg,UReg (ID),UReg (OOD),CFact,CFact (ID),CFact (OOD),ISAC,ISAC (ID),ISAC (OOD),ARGOSMART,ARGOSMART (ID),ARGOSMART (OOD),MetaOD,MetaOD (ID),MetaOD (OOD),CQ,CQ (CH),CQ (DB),CQ (Dunn),CQ (Hubert),CQ (I-Index),CQ (R2),CQ (SD),CQ (Silhouette),CQ (STD),CQ (XBS),UEC,UEC (EM),UEC (MV),MC,MC (3),MC (5),MC (7),MC (9),MC (12),OE,OE (AOM),OE (AVG),OE (MAX),HITS,AutoOD-A,AutoOD-A (Ensemble),AutoOD-A (Orig),AutoOD-A (Majority Vote),AutoOD-C,AutoOD-C (Majority),AutoOD-C (Ratio),AutoOD-C (Average),AutoOD-C (Individual),UADB,UADB (Orig),UADB (Base Mean),UADB (Base STD),UADB (Base Mean Cascade),UADB (Base STD Cascade),IOE,Synthetic,Synthetic (Orig-contextual),Synthetic (Orig-cutoff),Synthetic (Orig-noise),Synthetic (Orig-scale),Synthetic (Orig-speedup),Synthetic (Orig-spikes),Synthetic (STL-contextual),Synthetic (STL-cutoff),Synthetic (STL-noise),Synthetic (STL-scale),Synthetic (STL-speedup),Synthetic (STL-spikes),TSADAMS,TSADAMS (Borda),TSADAMS (Kemeny),TSADAMS (Trimmed Kemeny),TSADAMS (Partial Borda),TSADAMS (Trimmed Borda),TSADAMS (MIM),SELECT,SELECT (V),SELECT (H),IForest,LOF,AutoEncoder,CNN,LSTMAD,TranAD,AnomalyTransformer,OmniAnomaly,USAD,Donut,TimesNet,FITS,OFA,ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
718_YAHOO_id_168_WebService_tr_500_1st_263.csv,0.2844909623863948,0.4916537073234018,0.2192731766903768,0.2844909623863948,0.4916537073234018,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.2844909623863948,0.3027865210228144,0.6229824604824605,0.6229824604824605,0.0147284796734708,0.4916537073234018,0.4916537073234018,0.0147284796734708,0.0110126396429643,0.0110126396429643,0.0782021005718274,0.0077380952380952,0.0077380952380952,0.0138837512035009,0.0138837512035009,0.0103529940881105,0.0077380952380952,0.0077380952380952,0.0138837512035009,0.0095845345574009,0.0077380952380952,0.0077380952380952,0.6229824604824605,0.6229824604824605,0.3027865210228144,0.0077380952380952,0.1720111602645866,0.0077380952380952,0.0077380952380952,0.0077380952380952,0.0077380952380952,0.3660236529171367,0.1938660220803982,0.3660236529171367,0.1657592086527329,0.0999490700851601,0.2631797874373421,0.2631797874373421,0.1287793945544415,0.0279879080066208,0.0244180701885122,0.0244180701885122,0.0266067768649389,0.0227637453914394,0.0244131037956882,0.2155414940254189,0.348653101582024,0.1714989792932401,0.2155414940254189,0.1702213235420237,0.1702213235420237,0.0106444742459191,0.0319467454142924,0.0095845345574009,0.0095845345574009,0.0095845345574009,0.0095845345574009,0.0319467454142924,0.0095845345574009,0.0369610187922407,0.0095845345574009,0.0095845345574009,0.0095845345574009,0.0369610187922407,0.0095845345574009,0.6229824604824605,0.6229824604824605,0.6229824604824605,0.6229824604824605,0.0077380952380952,0.6229824604824605,0.0077380952380952,0.0202652081570917,0.0202652081570917,0.0096457411550597,0.009974410551918,0.0143121909767021,0.0121109637815805,0.1720111602645866,0.1715552479149149,0.0106287191886369,0.0077380952380952,0.0369610187922407,0.012957038663797,0.0252686218546309,0.0138837512035009,0.0098812559030401,0.0156205153187618,1680,13,13,1.0,0.0077380952380952,1,0
063_WSD_id_35_WebService_tr_2290_1st_2390.csv,0.3836613822559622,0.100680391096944,0.0264197547771596,0.0034575098999901,0.100680391096944,0.3836613822559622,0.3836613822559622,0.00385499975943,0.3836613822559622,0.3836613822559622,0.00385499975943,0.3836613822559622,0.3836613822559622,0.0022037774029251,0.3836613822559622,0.3836613822559622,0.0034575098999901,0.3836613822559622,0.3836613822559622,0.0034575098999901,0.3836613822559622,0.3836613822559622,0.00385499975943,0.2922437579750341,0.2922437579750341,0.1146480063496432,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.00385499975943,0.0614279506770087,0.0068113140654957,0.0893511876307123,0.0034575098999901,0.0068113140654957,0.0068113140654957,0.100680391096944,0.100680391096944,0.100680391096944,0.2028806193747216,0.003816567736219,0.2028806193747216,0.2028806193747216,0.0036740513270454,0.0036740513270454,0.325364223942224,0.345440146296716,0.325364223942224,0.1743389832309197,0.0646264988890083,0.2221649623453566,0.2221649623453566,0.0028231554311782,0.0102235243652587,0.0087131621286158,0.0087131621286158,0.0086929935047582,0.0033872066780877,0.0473685974852937,0.3851704378008168,0.3234780154728511,0.0483373763821378,0.3851704378008168,0.0483169254062422,0.0483169254062422,0.118073103593029,0.0032155072879862,0.0022037774029251,0.0032155072879862,0.0087013720493749,0.0032155072879862,0.0032155072879862,0.1547942028319488,0.1213235332890446,0.1213235332890446,0.0068113140654957,0.0048745207619402,0.0418984108095841,0.0614279506770087,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.0068113140654957,0.0614279506770087,0.0384633497547585,0.0384633497547585,0.0020579586055329,0.0039759804956663,0.1146480063496432,0.0031148093577702,0.051715735360395,0.003816567736219,0.0036704943782807,0.0036740513270454,0.0037638394502513,0.00385499975943,0.0418984108095841,0.005679869646634,0.0422057847848204,0.0068113140654957,18236,67,3,22.33333333333333,0.0036740513270454,0,1
649_YAHOO_id_99_WebService_tr_500_1st_1386.csv,1.0,1.0,0.4157321110262286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0029673590504451,0.5,0.5,0.0029673590504451,0.001002004008016,0.001002004008016,0.0121951219512195,0.5,0.5,0.5,0.5,0.0121951219512195,0.0121951219512195,0.5,0.5,0.0008833922261484,0.5,0.5,0.5,0.5,0.000595238095238,0.000595238095238,0.000595238095238,0.000595238095238,0.000595238095238,0.000595238095238,0.000595238095238,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,0.0166666666666666,1.0,1.0,1.0,0.0116279069767441,0.0099009900990099,0.0014164305949008,0.5,1.0,1.0,0.5,1.0,1.0,0.000595238095238,1.0,0.0035087719298245,0.0714285714285714,0.003030303030303,0.0714285714285714,1.0,1.0,0.0035087719298245,0.0714285714285714,0.003584229390681,1.0,1.0,1.0,0.000595238095238,0.000595238095238,0.5,0.5,0.5,0.000595238095238,0.5,0.0020408163265306,0.0020408163265306,0.000595238095238,1.0,0.0384615384615384,0.0029673590504451,1.0,1.0,0.0008841732979664,0.000595238095238,0.0025839793281653,0.0019960079840319,0.0007158196134574,0.0025062656641604,0.0042016806722689,0.0009900990099009,1680,1,1,1.0,0.000595238095238,1,0
043_WSD_id_15_WebService_tr_4521_1st_6828.csv,0.0893672752793781,0.5311060301858619,0.0863295785021712,0.0029863281820251,0.5311060301858619,0.0576739480217538,0.0576739480217538,0.0576739480217538,0.0576739480217538,0.0576739480217538,0.0003644191697341,0.0576739480217538,0.0576739480217538,0.0004312841789912,0.0576739480217538,0.0576739480217538,0.0029863281820251,0.0576739480217538,0.0576739480217538,0.0003644191697341,0.0576739480217538,0.0576739480217538,0.0003317666574509,0.0711854181270391,0.0711854181270391,0.0034277383006427,0.0029755385718641,0.0029755385718641,0.0034277383006427,0.0029755385718641,0.0022405376447833,0.0034277383006427,0.0029755385718641,0.000210649635522,0.0022102655916605,0.0029755385718641,0.0029755385718641,0.5311060301858619,0.5311060301858619,0.0003317666574509,0.0003317666574509,0.0003317666574509,0.0003317666574509,0.0003317666574509,0.0003317666574509,0.0003317666574509,0.3640686214370425,0.4058593548610943,0.3640686214370425,0.2426530441236323,0.0081146879887081,0.1688151432250664,0.1688151432250664,0.0006672122983938,0.0003820053094707,0.3640686214370425,0.3640686214370425,0.0007659914664099,0.0014887313064613,0.0004258410246036,0.5252234993614304,0.3559892919020156,0.1672496256754597,0.5252234993614304,0.1672485415032082,0.1672485415032082,0.0003317666574509,0.0052545149507979,0.0016772765155889,0.0004312841789912,0.0005669139015557,0.0004312841789912,0.0052545149507979,0.5959489619636312,0.1672163672555848,0.000210649635522,0.0893672752793781,0.000210649635522,0.0003644191697341,0.0034277383006427,0.0003317666574509,0.0003317666574509,0.0034277383006427,0.0034277383006427,0.0003317666574509,0.0003317666574509,0.0034277383006427,0.0010821180735235,0.0010821180735235,0.0005039850118802,0.1672163672555848,0.0034277383006427,0.0893672752793781,0.3337187970513651,0.3344091046996392,0.0003504928933373,0.0003317666574509,0.0010671661902738,0.0003644191697341,0.00033095018059,0.0044054573000988,0.0003454423972497,0.0029755385718641,18085,6,2,3.0,0.0003317666574509,0,1
112_WSD_id_84_WebService_tr_2442_1st_2542.csv,0.1974530940603074,0.3149299442032491,0.1171636400768281,0.055053564657739,0.3149299442032491,0.184870391945438,0.184870391945438,0.0095557469483549,0.184870391945438,0.184870391945438,0.0095557469483549,0.184870391945438,0.184870391945438,0.0032817614428874,0.184870391945438,0.184870391945438,0.055053564657739,0.184870391945438,0.184870391945438,0.055053564657739,0.1974530940603074,0.1974530940603074,0.0095557469483549,0.1999634448646127,0.1999634448646127,0.2659840092983834,0.2659840092983834,0.2659840092983834,0.0875616181853781,0.0227425682151791,0.0138307979282805,0.0875616181853781,0.2659840092983834,0.0224809314702255,0.0095557469483549,0.2659840092983834,0.2659840092983834,0.3149299442032491,0.3149299442032491,0.3149299442032491,0.0864736089203997,0.0224809314702255,0.0864736089203997,0.0864736089203997,0.0864736089203997,0.0034276387377584,0.4047644223317307,0.3319765350235495,0.4047644223317307,0.193581842005318,0.1606895888622446,0.2598690248934476,0.2598690248934476,0.0059856665073475,0.0024175473477196,0.1042339288972308,0.1042339288972308,0.0875114822007067,0.0254485371277067,0.0056261630842702,0.4361808734955601,0.4010589081532847,0.0241122162874625,0.4361808734955601,0.0236671933404142,0.0236671933404142,0.0605986993089006,0.055053564657739,0.0048501938616625,0.0032817614428874,0.0032042141160292,0.0032817614428874,0.055053564657739,0.3961219691010063,0.0864736089203997,0.0048501938616625,0.0135314036011827,0.0048501938616625,0.0864736089203997,0.1970939494966693,0.2659840092983834,0.2659840092983834,0.2659840092983834,0.0095557469483549,0.0864736089203997,0.0095557469483549,0.0875616181853781,0.0075409988297937,0.0075409988297937,0.0050914217362269,0.0048501938616625,0.1155467156456706,0.010999851114152,0.1970939494966693,0.0224809314702255,0.0227425682151791,0.0034276387377584,0.0842103652066833,0.0095557469483549,0.0032554544706309,0.1974530940603074,0.025579463403985,0.0835461045514183,18380,63,6,10.5,0.0034276387377584,0,1
123_TAO_id_8_Environment_tr_500_1st_62.csv,0.9999874282361816,0.9991682086848136,0.624873312409529,0.9999874282361816,0.0525183660087004,0.9999874282361816,0.9999874282361816,0.076169743833965,0.9991682086848136,0.9991682086848136,0.1250491125986088,0.0761587444193897,0.0761587444193897,0.9999874282361816,0.0761587444193897,0.0761587444193897,0.9999874282361816,0.9999874282361816,0.9999874282361816,0.076169743833965,0.997791703029864,0.997791703029864,0.076169743833965,0.997791703029864,0.997791703029864,0.7858647644927086,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.992260044607583,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.1250491125986088,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.9991682086848136,0.3787018035493669,0.9991682086848136,0.9991682086848136,0.0523875778372584,0.0523875778372584,0.9961067018621133,0.8610042447443221,0.9961067018621133,0.2276986437970741,0.9538751998648264,0.9999832717874512,0.9999832717874512,0.7446483180428135,0.7681388012618297,0.994480553131266,0.994480553131266,0.999917368688517,0.9999499681573988,0.9988199743550658,0.0424737913640104,0.999979132234854,0.999979132234854,0.0424737913640104,0.9999957922375198,0.9999957922375198,0.0761643835218389,0.0862054970265427,0.1250491125986088,0.1250491125986088,0.9991959459737002,0.9999874282361816,0.0862054970265427,0.7241777625622781,0.1250491125986088,0.1250491125986088,0.0490729160415274,0.1250491125986088,0.9968132393566927,0.7241777625622781,0.0523875778372584,0.0523875778372584,0.0862054970265427,0.0862054970265427,0.0862054970265427,0.0523875778372584,0.0862054970265427,0.1403526987374078,0.1403526987374078,0.0269915111306276,0.7858647644927086,0.0862054970265427,0.997791703029864,0.9968132393566927,0.992260044607583,0.0490729160415274,0.0523875778372584,0.0761587444193897,0.076169743833965,0.0441694870562014,0.24093723712743,0.1185203079379678,0.0525183660087004,10000,487,463,1.0518358531317495,0.0487,1,1
124_TAO_id_9_Environment_tr_500_1st_1.csv,0.999982994715608,1.0,0.2576537163394622,0.999982994715608,0.0348221371238218,0.999982994715608,0.999982994715608,0.0797518582990432,1.0,1.0,0.133971479836484,0.0797428613990677,0.0797428613990677,0.0797428613990677,0.0797428613990677,0.0797428613990677,0.0797428613990677,0.999982994715608,0.999982994715608,0.0797518582990432,0.9995451155105576,0.9995451155105576,0.0797518582990432,0.9995451155105576,0.9995451155105576,0.7585852987491357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.133971479836484,0.0506539026358742,0.0506539026358742,0.1716020265998971,0.1716020265998971,0.0810774075422265,0.444115009109219,0.444115009109219,0.444115009109219,0.444115009109219,0.9747823359612272,0.0506539026358742,0.9725469536068312,0.8410658116251979,0.9725469536068312,0.3078597529011239,0.8233573494009321,1.0,1.0,0.6544715447154471,0.7535101404056163,0.9982393000287892,0.9982393000287892,0.9999137336093856,0.998155697513796,0.9998453154375192,0.0564379720934093,0.9890398055692112,1.0,0.0564379720934093,1.0,1.0,0.998320065072256,0.7585852987491357,0.0348221371238218,0.133971479836484,0.0348221371238218,0.133971479836484,0.7585852987491357,0.7214516060871675,0.133971479836484,0.133971479836484,0.133971479836484,0.133971479836484,0.0348221371238218,0.7214516060871675,1.0,1.0,1.0,1.0,1.0,1.0,0.9747823359612272,0.0683666405546512,0.0683666405546512,0.2640635733725723,0.7585852987491357,0.1716020265998971,0.9995451155105576,0.9945234755893942,0.9274733138803808,0.0485670350787637,0.0506539026358742,0.0797428613990677,0.0797518582990432,0.0338787270134552,0.0512048694217686,0.0697279707573181,0.0348221371238218,10000,483,456,1.0592105263157894,0.0483,1,1
118_TAO_id_3_Environment_tr_500_1st_7.csv,0.998061980187916,0.9980598947157612,0.4408021407507803,0.9999203251156574,0.1142401323338215,0.9999203251156574,0.9999203251156574,0.0803586893035888,0.9980598947157612,0.9980598947157612,0.118433102293037,0.080400318626502,0.080400318626502,0.9999203251156574,0.080400318626502,0.080400318626502,0.9999203251156574,0.9999203251156574,0.9999203251156574,0.0803586893035888,0.9999203251156574,0.9999203251156574,0.0803586893035888,0.998061980187916,0.998061980187916,0.7791295433358191,0.253472640307378,0.253472640307378,0.253472640307378,0.253472640307378,0.998145561639025,0.253472640307378,0.253472640307378,0.253472640307378,0.118433102293037,0.253472640307378,0.253472640307378,0.253472640307378,0.253472640307378,0.1259576800406178,0.9980598947157612,0.4095264936584131,0.9980598947157612,0.9980598947157612,0.9980598947157612,0.9980598947157612,0.980031325908968,0.9181996938410636,0.980031325908968,0.3919649661568961,0.9270250916939096,0.9991176808156552,0.9991176808156552,0.0302483651749848,0.7577639751552795,0.9972128692895011,0.9972128692895011,0.9903954528265996,0.9840818146973712,0.986249150653722,0.1055090075097553,0.9980941888477584,0.9980774821167164,0.1055090075097553,0.9981793388677436,0.9981793388677436,0.7039926644510534,0.7791295433358191,0.1142401323338215,0.118433102293037,0.9992117147064988,0.9999203251156574,0.7791295433358191,0.1259576800406178,0.118433102293037,0.118433102293037,0.998061980187916,0.118433102293037,0.7791295433358191,0.998145561639025,0.998145561639025,0.998145561639025,0.253472640307378,0.253472640307378,0.253472640307378,0.998145561639025,0.253472640307378,0.0581821569573184,0.0581821569573184,0.2480431910016283,0.7791295433358191,0.253472640307378,0.998061980187916,0.9848303990805082,0.9884153976064992,0.0474546597384504,0.0611016040050473,0.080400318626502,0.0803586893035888,0.0339754589887033,0.0731068629694953,0.0622030205382134,0.1142401323338215,10000,488,468,1.0427350427350428,0.0488,1,1
128_TAO_id_13_Environment_tr_500_1st_7.csv,0.9994710105711944,0.9994026742293896,0.3901022487343832,0.997713862729228,0.2009872153282641,0.9994710105711944,0.9994710105711944,0.1786740673186983,0.9994710105711944,0.9994710105711944,0.1827776008219486,0.1786794659384203,0.1786794659384203,0.1786794659384203,0.1786794659384203,0.1786794659384203,0.1786794659384203,0.9994026742293896,0.9994026742293896,0.1786740673186983,0.9994710105711944,0.9994710105711944,0.1786740673186983,0.1851361283305236,0.1851361283305236,0.6241840572808866,0.2598855507365919,0.2598855507365919,0.2598855507365919,0.2598855507365919,0.9916923501381512,0.2598855507365919,0.2598855507365919,0.2598855507365919,0.9937394329537814,0.2598855507365919,0.2598855507365919,0.2598855507365919,0.2598855507365919,0.1564861274351537,0.9994026742293896,0.9994710105711944,0.9994026742293896,0.9994026742293896,0.9994026742293896,0.2058883316425574,0.9381955743169214,0.8085056737514089,0.9381955743169214,0.4020685658461125,0.7779508676810686,0.9994690662413838,0.9994690662413838,0.2945570503934714,0.1029711483563468,0.9596948116587832,0.9596948116587832,0.9895703655482136,0.9921895022821546,0.96581204799855,0.1439262072865198,0.9997288732832792,0.9996532772653172,0.1439262072865198,0.9999989940138796,0.9999989940138796,0.9994010851923516,0.6241840572808866,0.1827776008219486,0.9115909355375996,0.9997183808548142,0.1827776008219486,0.6241840572808866,0.6241840572808866,0.1827776008219486,0.1827776008219486,0.1260854883011938,0.1827776008219486,0.6241840572808866,0.9997183808548142,0.9994710105711944,0.9994710105711944,0.9994710105711944,0.2598855507365919,0.2598855507365919,0.9994710105711944,0.9994710105711944,0.2309271162313235,0.2309271162313235,0.1380974501238898,0.6241840572808866,0.2598855507365919,0.9974244597345469,0.9937394329537814,0.9916923501381512,0.1357025069509581,0.2058883316425574,0.1786794659384203,0.1786740673186983,0.1260854883011938,0.1423386581484385,0.1432358109104395,0.2009872153282641,10000,1409,1220,1.154918032786885,0.1409,1,1
191_Exathlon_id_18_Facility_tr_11665_1st_13484.csv,0.9883574054711975,0.941374220825632,0.7505967114980435,0.941374220825632,0.6140704850153341,0.9883574054711975,0.9883574054711975,0.9365227755758284,0.9883574054711975,0.9883574054711975,0.9365227755758286,0.9365227755758286,0.9365227755758286,0.9365227755758286,0.9365227755758286,0.9365227755758286,0.9365227755758286,0.9883574054711975,0.9883574054711975,0.4617214874410583,0.9883574054711975,0.9883574054711975,0.4617214874410583,0.941374220825632,0.941374220825632,0.1073166468890271,0.9701968658046396,0.9701968658046396,0.9701968658046396,0.9701968658046396,0.0730072865917477,0.9701968658046396,0.9701968658046396,0.9701968658046396,0.7804059788624709,0.9701968658046396,0.9701968658046396,0.3179413832985208,0.3179413832985208,0.0627518216888126,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.1715461206600001,0.6921968708680599,0.6921968708680599,0.0627518216888126,0.0627518216888126,0.3593138569276162,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.0627518216888126,0.1826409384485074,0.941374220825632,0.1826409384485074,0.4617214874410583,0.941374220825632,0.4617214874410583,0.941374220825632,0.7804059788624709,0.4617214874410583,0.4617214874410583,0.6374590726426986,0.4617214874410583,0.6374590726426986,0.7804059788624709,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.7833556998183695,0.9701968658046396,0.7833556998183695,0.7833556998183695,0.1021906685584273,0.1021906685584273,0.0627518216888126,0.1826409384485074,0.1396498468184475,0.9883574054711975,0.8863338184193187,0.875261446265433,0.0,0.0730072865917477,0.9365227755758286,0.9365227755758284,0.7833556998183695,0.4795182724579226,0.6374590726426986,0.6140704850153341,46660,2928,3,976.0,0.0627518216888126,0,1
