Length,Method,Time
46660,IOE,3689.6526731376700
46660,SELECT,3795.888775957110
46660,GB,8.438
129489,MSAD (ID),272.3578362464910
129489,SATzilla (ID),43.566129278183000
129489,UReg (ID),222.82585007858300
129489,CFact (ID),19.148631748199500
129489,ISAC (ID),24.029090909957900
129489,ARGOSMART (ID),0.950031909942627
129489,MetaOD (ID),240.83386575889600
129489,MSAD (OOD),19.55117919921880
129489,SATzilla (OOD),19.534491567611700
129489,UReg (OOD),19.95475199699400
129489,CFact (OOD),19.498319892883300
129489,ISAC (OOD),23.336495904922500
129489,ARGOSMART (OOD),1.856337646484380
129489,MetaOD (OOD),272.9852783679960
129489,Synthetic,818.3448911399840
129489,CQ,12819.797769777300
129489,UEC,13243.107688657800
129489,MC,12765.598036624900
129489,TSADAMS,12917.10727105710
129489,OE,12256.894074224500
129489,HITS,12256.850517534300
129489,AutoOD-A,15038.610835098300
129489,AutoOD-C,13795.356531404500
129489,UADB,12298.178038143200
129489,IOE,12260.50535728840
129489,SELECT,12347.522052310900
129489,GB,18.905
23703,MSAD (ID),66.78989434432980
23703,SATzilla (ID),66.84339833450320
23703,UReg (ID),66.86808419418340
23703,CFact (ID),2.7023052043914800
23703,ISAC (ID),67.03029132080080
23703,ARGOSMART (ID),45.06918992805480
23703,MetaOD (ID),44.83709826278690
23703,MSAD (OOD),66.75016761016850
23703,SATzilla (OOD),66.75778150749210
23703,UReg (OOD),66.8836436290741
23703,CFact (OOD),66.76978874397280
23703,ISAC (OOD),66.99258160781860
23703,ARGOSMART (OOD),44.87515225219730
23703,MetaOD (OOD),45.21845259475710
23703,Synthetic,111.06889926338200
23703,CQ,1828.144970336910
23703,UEC,1907.8528904514300
23703,MC,1730.8268075618700
23703,TSADAMS,2392.2597317638400
23703,OE,1725.8063137455000
23703,HITS,1725.7035102767900
23703,AutoOD-A,1763.512532464980
23703,AutoOD-C,1759.0613479538000
23703,UADB,1740.3034202976200
23703,IOE,1725.9325764102900
23703,SELECT,1751.0334777755700
23703,GB,5.117
23703,MSAD (ID),2.87998966217041
23703,SATzilla (ID),66.8423664894104
23703,UReg (ID),66.91063931846620
23703,CFact (ID),0.3225582675933840
23703,ISAC (ID),67.02183702850340
23703,ARGOSMART (ID),67.17572501564030
23703,MetaOD (ID),44.96132852363590
23703,MSAD (OOD),67.00350573921200
23703,SATzilla (OOD),66.72925070190430
23703,UReg (OOD),2.9675042304992700
23703,CFact (OOD),2.9263331565856900
23703,ISAC (OOD),66.98990753555300
23703,ARGOSMART (OOD),67.31200483703610
23703,MetaOD (OOD),44.891790407180800
23703,Synthetic,103.22221252059900
23703,CQ,1884.1432147884400
23703,UEC,2869.4829380683900
23703,MC,1739.146197259900
23703,TSADAMS,2334.408017337800
23703,OE,1734.5590952243800
23703,HITS,1734.3828125801100
23703,AutoOD-A,1800.930192550660
23703,AutoOD-C,1762.4762667026500
23703,UADB,1751.5861631240800
23703,IOE,1734.6001537647200
23703,SELECT,1772.5514934864000
23703,GB,2.766
43066,MSAD (ID),5.573083154678340
43066,SATzilla (ID),5.551165573120120
43066,UReg (ID),51.30745905685430
43066,CFact (ID),0.3417181854248050
43066,ISAC (ID),6.031579725265500
43066,ARGOSMART (ID),6.375785343170170
43066,MetaOD (ID),80.56802719116210
43066,MSAD (OOD),1.1493057937622100
43066,SATzilla (OOD),0.8911924095153810
43066,UReg (OOD),4.01597301864624
43066,CFact (OOD),3.997976707458500
43066,ISAC (OOD),80.70990055084230
43066,ARGOSMART (OOD),0.7752830867767330
43066,MetaOD (OOD),80.42949383735660
43066,Synthetic,241.9133174324040
43066,CQ,3511.345101634980
43066,UEC,3410.953625900270
43066,MC,3361.1423476734200
43066,TSADAMS,3952.0248052902200
43066,OE,3351.888976804730
43066,HITS,3351.963180295940
43066,AutoOD-A,3582.007276765820
43066,AutoOD-C,3442.3306665344200
43066,UADB,3378.5140800399800
43066,IOE,3352.309435598370
43066,SELECT,3370.960865728380
43066,GB,4.067
23703,MSAD (ID),66.73005782318120
23703,SATzilla (ID),66.80159817886350
23703,UReg (ID),66.77971636009220
23703,CFact (ID),0.227867467880249
23703,ISAC (ID),67.06820427131650
23703,ARGOSMART (ID),44.9942755355835
23703,MetaOD (ID),44.96680089378360
23703,MSAD (OOD),66.72836695861820
23703,SATzilla (OOD),66.9897807712555
23703,UReg (OOD),1.9049336738586400
23703,CFact (OOD),1.869958860397340
23703,ISAC (OOD),66.98343383026120
23703,ARGOSMART (OOD),0.807997200012207
23703,MetaOD (OOD),44.89086219215390
23703,Synthetic,135.47946298599200
23703,CQ,1852.421337305070
23703,UEC,1774.7116449356100
23703,MC,1756.049736541750
23703,TSADAMS,2351.305619520190
23703,OE,1751.1946395130200
23703,HITS,1751.2724638671900
23703,AutoOD-A,2008.6777985782600
23703,AutoOD-C,1769.9406307430300
23703,UADB,1767.2605119438200
23703,IOE,1751.469914505010
23703,SELECT,1768.6569462509200
23703,GB,1.669
23703,MSAD (ID),44.5639289226532
23703,SATzilla (ID),66.83165866661070
23703,UReg (ID),66.78963548469540
23703,CFact (ID),66.8188791923523
23703,ISAC (ID),4.616184265136720
23703,ARGOSMART (ID),45.010191997528100
23703,MetaOD (ID),44.767978033065800
23703,MSAD (OOD),66.74349505233770
23703,SATzilla (OOD),66.77902299690250
23703,UReg (OOD),66.91551071929930
23703,CFact (OOD),66.76636416244510
23703,ISAC (OOD),4.536962301254270
23703,ARGOSMART (OOD),0.8441453685760500
23703,MetaOD (OOD),45.088171085357700
23703,Synthetic,110.98364758873000
23703,CQ,1754.423919460300
23703,UEC,1960.2845358047500
23703,MC,1759.519555212020
23703,TSADAMS,2354.4404652328500
23703,OE,1754.3127873439800
23703,HITS,1754.3793759841900
23703,AutoOD-A,2001.1285760898600
23703,AutoOD-C,1769.4892991085100
23703,UADB,1779.4970436592100
23703,IOE,1754.6178606052400
23703,SELECT,1787.0838296909300
23703,GB,5.852
80000,MSAD (ID),17.491697414398200
80000,SATzilla (ID),58.44389198303220
80000,UReg (ID),28.14155662727360
80000,CFact (ID),27.414706594467200
80000,ISAC (ID),58.29643332862850
80000,ARGOSMART (ID),58.215467094421400
80000,MetaOD (ID),147.22355006980900
80000,MSAD (OOD),27.369691736221300
80000,SATzilla (OOD),27.328370935440100
80000,UReg (OOD),27.41152847480770
80000,CFact (OOD),27.35835564804080
80000,ISAC (OOD),58.76160848045350
80000,ARGOSMART (OOD),58.1557391872406
80000,MetaOD (OOD),147.56329559135400
80000,Synthetic,423.4489401645660
80000,CQ,7421.740336097720
80000,UEC,7970.924195821760
80000,MC,7521.301943000790
80000,TSADAMS,8021.701544918060
80000,OE,7388.575706474310
80000,HITS,7388.852268926620
80000,AutoOD-A,8512.82343863678
80000,AutoOD-C,7779.1007165832500
80000,UADB,7419.358340970990
80000,IOE,7390.495342008590
80000,SELECT,7421.096462957380
80000,GB,26.982
56123,MSAD (ID),128.87215896987900
56123,SATzilla (ID),15.669007133483900
56123,UReg (ID),15.587880443573000
56123,CFact (ID),15.600828241348300
56123,ISAC (ID),129.89514776611300
56123,ARGOSMART (ID),129.32424112701400
56123,MetaOD (ID),104.12448853874200
56123,MSAD (OOD),15.539013933181800
56123,SATzilla (OOD),29.452847597122200
56123,UReg (OOD),15.747514080047600
56123,CFact (OOD),15.551408838272100
56123,ISAC (OOD),30.268852588653600
56123,ARGOSMART (OOD),16.040302824020400
56123,MetaOD (OOD),29.695283529281600
56123,Synthetic,322.3913951625820
56123,CQ,5062.595359355930
56123,UEC,5818.1019000492100
56123,MC,5121.327793107990
56123,TSADAMS,5662.5677099533100
56123,OE,5005.077540199280
56123,HITS,5005.2964952392600
56123,AutoOD-A,5935.731906215670
56123,AutoOD-C,5247.299603740690
56123,UADB,5031.001642982490
56123,IOE,5007.10484890175
56123,SELECT,5082.103731672290
56123,GB,15.274
30000,MSAD (ID),14.317212131500200
30000,SATzilla (ID),14.322395828247100
30000,UReg (ID),14.254078891754200
30000,CFact (ID),14.29737165260320
30000,ISAC (ID),14.669371870040900
30000,ARGOSMART (ID),14.870126274108900
30000,MetaOD (ID),56.32258096694950
30000,MSAD (OOD),14.30491617012020
30000,SATzilla (OOD),14.19268849182130
30000,UReg (OOD),14.257480409622200
30000,CFact (OOD),14.235077646255500
30000,ISAC (OOD),1.1371369132995600
30000,ARGOSMART (OOD),14.792588737487800
30000,MetaOD (OOD),56.442938003540000
30000,Synthetic,151.30197456169100
30000,CQ,2809.015703920360
30000,UEC,2944.6134768619500
30000,MC,2864.7028743801100
30000,TSADAMS,3409.020949367520
30000,OE,2748.324633180620
30000,HITS,2748.4357045288100
30000,AutoOD-A,2896.8949187393200
30000,AutoOD-C,2823.3915258045200
30000,UADB,2768.962887107850
30000,IOE,2748.993926345830
30000,SELECT,2790.367743074420
30000,GB,14.053
46649,MSAD (ID),0.43830488777160600
46649,SATzilla (ID),0.2447907791137700
46649,UReg (ID),0.32686232185363800
46649,CFact (ID),0.3279359226226810
46649,ISAC (ID),1.1106707916259800
46649,ARGOSMART (ID),0.8300201759338380
46649,MetaOD (ID),86.96770157814030
46649,MSAD (OOD),7.467493766784670
46649,SATzilla (OOD),0.4246258602142330
46649,UReg (OOD),7.350188249588010
46649,CFact (OOD),7.323025936126710
46649,ISAC (OOD),0.8812644348144530
46649,ARGOSMART (OOD),7.818211549758910
46649,MetaOD (OOD),86.79044213294980
46649,Synthetic,2494.163364606860
46649,CQ,3651.1564630985300
46649,UEC,3991.7312832908600
46649,MC,3539.535631456380
46649,TSADAMS,4129.092263975140
46649,OE,3528.7124067783400
46649,HITS,3528.858535671230
46649,AutoOD-A,4347.903787994380
46649,AutoOD-C,3619.338310623170
46649,UADB,3560.0521134376500
46649,IOE,3529.3088044166600
46649,SELECT,3579.451765918730
46649,GB,7.069
40000,MSAD (ID),4.518052410125730
40000,SATzilla (ID),4.568949090957640
40000,UReg (ID),4.347867118835450
40000,CFact (ID),4.404462682724000
40000,ISAC (ID),1.1036908531189000
40000,ARGOSMART (ID),5.120996068954470
40000,MetaOD (ID),74.17735308265690
40000,MSAD (OOD),4.44515167427063
40000,SATzilla (OOD),4.271195518493650
40000,UReg (OOD),4.491232025146480
40000,CFact (OOD),4.322889673233030
40000,ISAC (OOD),0.955421199798584
40000,ARGOSMART (OOD),4.988299476623540
40000,MetaOD (OOD),74.37830990409850
40000,Synthetic,218.41154132843000
40000,CQ,3391.573806814190
40000,UEC,3952.0764678840600
40000,MC,3399.9180620765700
40000,TSADAMS,3991.415473089220
40000,OE,3391.3220573082000
40000,HITS,3391.456559480670
40000,AutoOD-A,3642.1681831493400
40000,AutoOD-C,3476.109471382140
40000,UADB,3412.636611045840
40000,IOE,3391.8212662353500
40000,SELECT,3420.7922015800500
40000,GB,4.087
55000,MSAD (ID),9.974681983947750
55000,SATzilla (ID),9.853977094650270
55000,UReg (ID),9.902068506240850
55000,CFact (ID),9.87918413734436
55000,ISAC (ID),10.832338939666700
55000,ARGOSMART (ID),10.372742305755600
55000,MetaOD (ID),97.69758793449400
55000,MSAD (OOD),9.985610137939450
55000,SATzilla (OOD),10.016392122268700
55000,UReg (OOD),9.982242952346800
55000,CFact (OOD),9.831021200180050
55000,ISAC (OOD),154.48754822921800
55000,ARGOSMART (OOD),10.051742206573500
55000,MetaOD (OOD),97.50048514938360
55000,Synthetic,276.4028638706210
55000,CQ,4647.5917792835200
55000,UEC,4868.784128818510
55000,MC,4659.285103969570
55000,TSADAMS,5247.2318500804900
55000,OE,4647.139541629790
55000,HITS,4647.346045736310
55000,AutoOD-A,5153.583649639130
55000,AutoOD-C,4738.168669942860
55000,UADB,4672.488945011140
55000,IOE,4647.843520168300
55000,SELECT,4692.521589282990
55000,GB,9.561
23703,MSAD (ID),0.4848241882324220
23703,SATzilla (ID),0.1238595905303960
23703,UReg (ID),43.727333517074600
23703,CFact (ID),0.212425573348999
23703,ISAC (ID),0.7251794414520260
23703,ARGOSMART (ID),0.8550512866973880
23703,MetaOD (ID),44.775516162872300
23703,MSAD (OOD),0.5133431034088130
23703,SATzilla (OOD),0.1400391521453860
23703,UReg (OOD),1.173734405517580
23703,CFact (OOD),1.1558356075286900
23703,ISAC (OOD),1.0859513416290300
23703,ARGOSMART (OOD),0.8280925827026370
23703,MetaOD (OOD),0.480261905670166
23703,Synthetic,106.84355371666000
23703,CQ,1446.7611385669700
23703,UEC,1533.671604326250
23703,MC,1451.086295345310
23703,TSADAMS,2048.396435947420
23703,OE,1446.5227915954600
23703,HITS,1446.537589998250
23703,AutoOD-A,1552.2776593875900
23703,AutoOD-C,1458.9885134410900
23703,UADB,1462.140965194700
23703,IOE,1446.6976246547700
23703,SELECT,1476.2457120132400
23703,GB,2.54
43066,MSAD (ID),5.76641197013855
43066,SATzilla (ID),5.751310537338260
43066,UReg (ID),0.4918863754272460
43066,CFact (ID),0.3236074333190920
43066,ISAC (ID),1.0216994266510000
43066,ARGOSMART (ID),6.214229057312010
43066,MetaOD (ID),80.46408706283570
43066,MSAD (OOD),80.15005236244200
43066,SATzilla (OOD),51.07728291702270
43066,UReg (OOD),7.053461553573610
43066,CFact (OOD),6.881314041137700
43066,ISAC (OOD),11.65733247756960
43066,ARGOSMART (OOD),6.183333108901980
43066,MetaOD (OOD),0.5135388259887700
43066,Synthetic,221.2485400733950
43066,CQ,3310.594208684920
43066,UEC,3369.467901674270
43066,MC,3317.034029071810
43066,TSADAMS,3910.5675005588500
43066,OE,3307.2461262321500
43066,HITS,3307.396354017260
43066,AutoOD-A,3742.687437114720
43066,AutoOD-C,3381.4125156974800
43066,UADB,3340.379251775740
43066,IOE,3307.7997336959800
43066,SELECT,3385.4132950878100
43066,GB,6.602
300000,MSAD (ID),665.8322122077940
300000,SATzilla (ID),665.7784914951330
300000,UReg (ID),832.5801437168120
300000,CFact (ID),832.500416305542
300000,ISAC (ID),679.693729637146
300000,ARGOSMART (ID),665.6416878681180
300000,MetaOD (ID),561.8752429027560
300000,MSAD (OOD),232.4825897655490
300000,SATzilla (OOD),24.231264184951800
300000,UReg (OOD),14.677522550582900
300000,CFact (OOD),13.95017088508610
300000,ISAC (OOD),28.65381063079830
300000,ARGOSMART (OOD),14.943340431213400
300000,MetaOD (OOD),560.9917556781770
300000,Synthetic,1582.833822856900
300000,CQ,13323.95562827300
300000,UEC,15529.99099580570
300000,MC,14086.947271791500
300000,TSADAMS,14022.693733182900
300000,OE,13325.025758621200
300000,HITS,13325.309359666800
300000,AutoOD-A,43359.505232688900
300000,AutoOD-C,20018.03437626080
300000,UADB,13443.754076835600
300000,IOE,13337.124308940900
300000,SELECT,13485.717710134500
300000,GB,12.811
20000,MSAD (ID),56.552607849121100
20000,SATzilla (ID),56.53641135978700
20000,UReg (ID),56.519545152664200
20000,CFact (ID),56.592150524139400
20000,ISAC (ID),0.5737246646881100
20000,ARGOSMART (ID),0.83039111328125
20000,MetaOD (ID),38.168035875320400
20000,MSAD (OOD),56.54711516189580
20000,SATzilla (OOD),56.53306181716920
20000,UReg (OOD),56.5192073135376
20000,CFact (OOD),56.50884683418270
20000,ISAC (OOD),1.4972419891357400
20000,ARGOSMART (OOD),57.1020611076355
