file,Oracle,SS,Random,GB,FM,MSAD,MSAD (ID),MSAD (OOD),SATzilla,SATzilla (ID),SATzilla (OOD),UReg,UReg (ID),UReg (OOD),CFact,CFact (ID),CFact (OOD),ISAC,ISAC (ID),ISAC (OOD),ARGOSMART,ARGOSMART (ID),ARGOSMART (OOD),MetaOD,MetaOD (ID),MetaOD (OOD),CQ,CQ (CH),CQ (DB),CQ (Dunn),CQ (Hubert),CQ (I-Index),CQ (R2),CQ (SD),CQ (Silhouette),CQ (STD),CQ (XBS),UEC,UEC (EM),UEC (MV),MC,MC (3),MC (5),MC (7),MC (9),MC (12),OE,OE (AOM),OE (AVG),OE (MAX),HITS,AutoOD-A,AutoOD-A (Ensemble),AutoOD-A (Orig),AutoOD-A (Majority Vote),AutoOD-C,AutoOD-C (Majority),AutoOD-C (Ratio),AutoOD-C (Average),AutoOD-C (Individual),UADB,UADB (Orig),UADB (Base Mean),UADB (Base STD),UADB (Base Mean Cascade),UADB (Base STD Cascade),IOE,Synthetic,Synthetic (Orig-contextual),Synthetic (Orig-cutoff),Synthetic (Orig-noise),Synthetic (Orig-scale),Synthetic (Orig-speedup),Synthetic (Orig-spikes),Synthetic (STL-contextual),Synthetic (STL-cutoff),Synthetic (STL-noise),Synthetic (STL-scale),Synthetic (STL-speedup),Synthetic (STL-spikes),TSADAMS,TSADAMS (Borda),TSADAMS (Kemeny),TSADAMS (Trimmed Kemeny),TSADAMS (Partial Borda),TSADAMS (Trimmed Borda),TSADAMS (MIM),SELECT,SELECT (V),SELECT (H),AutoTSAD,Sub_IForest,IForest,Sub_LOF,LOF,POLY,MatrixProfile,KShapeAD,SAND,Series2Graph,SR,Sub_PCA,Sub_HBOS,Sub_OCSVM,Sub_MCD,Sub_KNN,KMeansAD_U,AutoEncoder,CNN,LSTMAD,TranAD,AnomalyTransformer,OmniAnomaly,USAD,Donut,TimesNet,FITS,OFA,Lag_Llama,Chronos,TimesFM,MOMENT_ZS,MOMENT_FT,ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
393_UCR_id_91_Environment_tr_2046_1st_4852.csv,0.5313283208020049,0.7368421052631579,0.2114536222039393,0.5542168674698795,0.1280788177339901,0.7368421052631579,0.7368421052631579,0.5542168674698795,0.7368421052631579,0.7368421052631579,0.5542168674698795,0.5542168674698795,0.5542168674698795,0.5542168674698795,0.66869918699187,0.66869918699187,0.5542168674698795,0.3023255813953488,0.3023255813953488,0.3023255813953488,0.5313283208020049,0.5313283208020049,0.4810126582278481,0.0697995878562721,0.0697995878562721,0.0697995878562721,0.66869918699187,0.66869918699187,0.3673469387755101,0.3673469387755101,0.3673469387755101,0.0,0.66869918699187,0.2681040157998683,0.1106941838649155,0.1585365853658536,0.1280788177339901,0.1280788177339901,0.1280788177339901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4143126177024482,0.3397683397683398,0.4143126177024482,0.2464454976303317,0.3844984802431611,0.5143769968051118,0.5143769968051118,0.0661096874952616,0.0268041237113402,0.0246654611211573,0.0246654611211573,0.0846548229402646,0.0846548229402646,0.0241124181614946,0.3252032520325203,0.3899082568807339,0.0832453980536991,0.3252032520325203,0.0832453980536991,0.0832453980536991,0.0,0.2681040157998683,0.5542168674698795,0.0496159858628423,0.0522565320665083,0.7368421052631579,0.2681040157998683,0.1203703703703703,0.5238095238095238,0.7368421052631579,0.0496159858628423,0.7368421052631579,0.7368421052631579,0.1203703703703703,0.5542168674698795,0.5542168674698795,0.0,0.0,0.0,0.5542168674698795,0.0,0.0078534031413612,0.0078534031413612,0.0058529447628338,0.7441860465116279,0.2413793103448276,0.0496159858628423,0.39375,0.3673469387755101,0.0,0.4810126582278481,0.5542168674698795,0.5238095238095238,0.3476047904191617,0.1203703703703703,0.205607476635514,0.3023255813953488,0.5185185185185185,0.66869918699187,0.5313283208020049,0.7368421052631579,0.1106941838649155,0.0262396506232371,0.083944194845117,0.0780477080356161,0.0,0.0522565320665083,0.2681040157998683,0.0193655394524959,0.0413669064748201,0.3181818181818182,0.047682119205298,0.3023255813953488,0.1585365853658536,0.1280788177339901,0.0697995878562721,0.0676139147476727,8184,48,1,48.0,0.005865102639296188,0,1
474_UCR_id_172_Environment_tr_2046_1st_6520.csv,1.0,1.0,0.1244057280356022,0.3545240497813656,0.0724137931034482,1.0,1.0,0.3545240497813656,1.0,1.0,0.3545240497813656,0.3545240497813656,0.3545240497813656,0.3545240497813656,0.3545240497813656,0.3545240497813656,0.3545240497813656,1.0,1.0,0.1157024793388429,1.0,1.0,0.1157024793388429,0.0389039679462323,0.0389039679462323,0.0389039679462323,0.0,0.0,0.0358451895244115,0.0,0.3333333333333333,0.0,0.0,0.0358451895244115,0.0484368119771026,0.0177304964539007,0.0,0.0732984293193717,0.0732984293193717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544951590594744,0.1403508771929824,0.2544951590594744,0.0406881077038145,0.2304526748971193,0.3787957660940482,0.3787957660940482,0.0078895463510848,0.0083379045529347,0.0066685190330647,0.0066685190330647,0.0055299539170506,0.0117136324310962,0.0132200188857412,0.2592592592592592,0.2207130730050934,0.0135363790186125,0.2592592592592592,0.013671875,0.013671875,0.0,1.0,0.0484368119771026,0.0106537530266343,0.0522903453136011,0.0106537530266343,1.0,0.0295774647887323,0.0484368119771026,1.0,1.0,1.0,1.0,0.0295774647887323,0.3545240497813656,0.3545240497813656,0.0,0.0,0.0,0.3545240497813656,0.3333333333333333,0.0056831636277527,0.0056831636277527,0.034313725490196,0.2790697674418604,0.1883408071748878,0.0106537530266343,0.1860465116279069,0.0177304964539007,0.0,0.3333333333333333,0.3545240497813656,0.2553191489361702,0.0484368119771026,0.0295774647887323,0.0244897959183673,0.1157024793388429,0.3185554903112155,0.5052631578947369,0.7777777777777779,1.0,0.0545722713864306,0.0147835269271383,0.0136286201022146,0.0147359803520261,0.0,0.013355592654424,0.0358451895244115,0.0214395099540581,0.0098109293753241,0.0101066355037797,0.0138939670932358,0.0137414116177389,0.0732984293193717,0.0724137931034482,0.0389039679462323,0.0522903453136011,8184,24,1,24.0,0.002932551319648094,0,1
496_UCR_id_194_Environment_tr_2046_1st_5391.csv,0.1538461538461538,0.0058309037900874,0.1293738819320214,0.0025608194622279,0.4,0.0058309037900874,0.0058309037900874,0.0025608194622279,0.0058309037900874,0.0058309037900874,0.0025608194622279,0.0025608194622279,0.0025608194622279,0.0025608194622279,0.0465116279069767,0.0465116279069767,0.0025608194622279,0.0058309037900874,0.0058309037900874,0.0104712041884816,0.0465116279069767,0.0465116279069767,0.0043383947939262,0.0048426150121065,0.0048426150121065,0.0048426150121065,0.0,0.0,0.0015860428231562,0.0465116279069767,0.0003309614429918,0.0,0.0,0.0015860428231562,0.0011461318051575,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2222222222222222,0.1052631578947368,0.0024125452352231,0.0024125452352231,0.0056179775280898,0.0032310177705977,0.0001630390478519,0.0001630390478519,0.0001312249852371,7.229351165732876e-05,0.0081967213114754,0.4,0.2222222222222222,0.0038240917782026,0.4,0.0078125,0.0078125,0.0,0.1538461538461538,0.0327868852459016,0.0051282051282051,0.0037105751391465,0.0051282051282051,0.1538461538461538,0.1538461538461538,0.0327868852459016,0.0058309037900874,0.0465116279069767,0.0058309037900874,0.0058309037900874,0.1538461538461538,0.0058309037900874,0.0058309037900874,0.0,0.0,0.0,0.0058309037900874,0.0,0.0952380952380952,0.0952380952380952,0.0,0.018348623853211,0.0001840095684975,0.0051282051282051,0.0043383947939262,0.0002683483161143,0.0,0.1538461538461538,0.0025608194622279,0.0465116279069767,0.0327868852459016,0.1538461538461538,0.0015860428231562,0.0003857280617164,0.0004689331770222,0.0465116279069767,0.0008382229673093,0.0058309037900874,0.0011461318051575,0.0104712041884816,0.0082644628099173,0.0012650221378874,0.0,0.0037105751391465,0.0007689350249903,0.000463284688441,0.0014295925661186,0.0263157894736842,0.0057306590257879,0.0003309614429918,0.6666666666666666,0.4,0.0048426150121065,0.0072202166064981,8184,1,1,1.0,0.00012218963831867058,1,0
506_UCR_id_204_Environment_tr_2046_1st_5549.csv,0.6351159488878371,0.0983796296296296,0.2037300252352278,0.1176470588235294,0.3561643835616438,0.0983796296296296,0.0983796296296296,0.1176470588235294,0.0983796296296296,0.0983796296296296,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1416893732970027,0.1416893732970027,0.1799307958477508,0.0983796296296296,0.0983796296296296,0.1799307958477508,0.0893750416861201,0.0893750416861201,0.0893750416861201,0.1203703703703703,0.1203703703703703,0.1721854304635761,0.6351159488878371,0.1884057971014492,0.1884057971014492,0.1203703703703703,0.1799307958477508,0.0568178324365872,0.1203703703703703,0.1203703703703703,0.3561643835616438,0.3561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3594306049822064,0.3561643835616438,0.3594306049822064,0.3561643835616438,0.5024630541871921,0.4046920821114369,0.4046920821114369,0.1799307958477508,0.0405405405405405,0.1799307958477508,0.1799307958477508,0.1301775147928994,0.1368584758942457,0.0590717299578059,0.3614086335605323,0.3561643835616438,0.1799307958477508,0.3614086335605323,0.1799307958477508,0.1799307958477508,0.0,0.0983796296296296,0.1176470588235294,0.1721854304635761,0.1216216216216216,0.0983796296296296,0.0983796296296296,0.3673469387755101,0.0496074480650316,0.0983796296296296,0.216867469879518,0.0983796296296296,0.0983796296296296,0.3673469387755101,0.1157024793388429,0.1157024793388429,0.1157024793388429,0.0,0.0,0.0,0.0,0.0074005550416281,0.0074005550416281,0.3561643835616438,0.1868321810182275,0.0957382347000606,0.1721854304635761,0.2684563758389262,0.1203703703703703,0.0,0.1799307958477508,0.1176470588235294,0.216867469879518,0.0496074480650316,0.3673469387755101,0.2854368932038835,0.1416893732970027,0.0828571428571428,0.6351159488878371,0.1157024793388429,0.0983796296296296,0.0568178324365872,0.3561643835616438,0.1759729272419627,0.1799307958477508,0.1884057971014492,0.1216216216216216,0.1368421052631579,0.3561643835616438,0.1280788177339901,0.0419944401727095,0.1884057971014492,0.3783783783783783,0.3561643835616438,0.3561643835616438,0.0893750416861201,0.1114557485525227,8184,48,1,48.0,0.005865102639296188,0,1
463_UCR_id_161_Environment_tr_2046_1st_6006.csv,0.8119658119658119,0.8119658119658119,0.1079373158104054,0.4228855721393034,0.1135371179039301,0.8119658119658119,0.8119658119658119,0.4228855721393034,0.8119658119658119,0.8119658119658119,0.4228855721393034,0.4228855721393034,0.4228855721393034,0.4228855721393034,0.8569940088564731,0.8569940088564731,0.4228855721393034,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.0110732538330494,0.0110732538330494,0.4,0.0898927978990715,0.0898927978990715,0.0898927978990715,0.0846905537459283,0.0846905537459283,0.3870967741935484,0.3870967741935484,0.4113924050632911,0.0846905537459283,0.0846905537459283,0.0821114369501466,0.065446045968056,0.1135371179039301,0.1135371179039301,0.1135371179039301,0.1135371179039301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062987422427239,0.3434473854099419,0.4062987422427239,0.3036980749746707,0.3181818181818182,0.5217391304347826,0.5217391304347826,0.028169014084507,0.3561643835616438,0.0148106680446702,0.0148106680446702,0.0254403131115459,0.0254403131115459,0.0171503957783641,0.3962063086104007,0.3836604337299747,0.0257680872150644,0.3962063086104007,0.0257680872150644,0.0257680872150644,0.0,0.4,0.3103448275862069,0.0216925554307056,0.0568848264732237,0.0216925554307056,0.4,0.3561643835616438,0.2745098039215686,0.8119658119658119,0.3179297597042514,0.8119658119658119,0.8119658119658119,0.3561643835616438,0.4228855721393034,0.4228855721393034,0.0,0.0,0.0,0.4228855721393034,0.0,0.3023255813953488,0.3023255813953488,0.2414860681114551,0.4946079029829488,0.2010309278350515,0.0216925554307056,0.3103448275862069,0.3870967741935484,0.0,0.4,0.4228855721393034,0.4113924050632911,0.2745098039215686,0.3561643835616438,0.0640747764833378,0.3181818181818182,0.3179297597042514,0.8569940088564731,0.651685393258427,0.8119658119658119,0.065446045968056,0.0403100775193798,0.0254403131115459,0.0536912751677852,0.0846905537459283,0.0286225402504472,0.0821114369501466,0.0784774855802242,0.0263322884012539,0.0248022236476373,0.2626262626262626,0.0089588561867822,0.0110732538330494,0.1135371179039301,0.0898927978990715,0.0568848264732237,8184,48,1,48.0,0.005865102639296188,0,1
495_UCR_id_193_Environment_tr_2046_1st_6520.csv,0.9655172413793104,0.9655172413793104,0.1072849444061004,0.3617021276595744,0.053639846743295,0.9655172413793104,0.9655172413793104,0.3617021276595744,0.9655172413793104,0.9655172413793104,0.3617021276595744,0.3617021276595744,0.3617021276595744,0.3617021276595744,0.5052631578947369,0.5052631578947369,0.3617021276595744,0.1352443954428519,0.1352443954428519,0.1352443954428519,0.5052631578947369,0.5052631578947369,0.3181818181818182,0.048602673147023,0.048602673147023,0.048602673147023,0.0,0.0,0.0273487773487773,0.0273487773487773,0.0273487773487773,0.0273487773487773,0.0,0.0278745644599303,0.0697674418604651,0.0504807692307692,0.053639846743295,0.0504807692307692,0.0504807692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2595419847328244,0.24,0.2595419847328244,0.0116279069767441,0.3157894736842105,0.6393162393162394,0.6393162393162394,0.0096,0.0263224463189437,0.0020255541085446,0.0020255541085446,0.0141557128412537,0.0141557128412537,0.0079601990049751,0.2962962962962963,0.1878453038674033,0.0139581256231306,0.2962962962962963,0.0139581256231306,0.0139581256231306,0.0,0.9655172413793104,0.3617021276595744,0.0180831826401446,0.0139581256231306,0.9655172413793104,0.9655172413793104,0.0281879194630872,0.0621954714817999,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.0281879194630872,0.3617021276595744,0.3617021276595744,0.0,0.0,0.0,0.3617021276595744,0.0,0.0054434112043547,0.0054434112043547,0.0029296875,0.5473684210526316,0.2153846153846154,0.0180831826401446,0.2419354838709677,0.0273487773487773,0.0,0.3181818181818182,0.3617021276595744,0.45,0.0621954714817999,0.0281879194630872,0.0382165605095541,0.1352443954428519,0.2745098039215686,0.5052631578947369,0.7234042553191489,0.9655172413793104,0.0697674418604651,0.018808777429467,0.0141557128412537,0.0155875299760191,0.0,0.0139581256231306,0.0278745644599303,0.0115232265034209,0.0123076923076923,0.0149551345962113,0.008585445625511,0.0139906728847435,0.0504807692307692,0.053639846743295,0.048602673147023,0.044280442804428,8184,24,1,24.0,0.002932551319648094,0,1
197_SMD_id_20_Facility_tr_5000_1st_15144.csv,0.7928913370866076,0.4814333382669432,0.20377715075415,0.198560809794603,0.3365384307603247,0.7928913370866076,0.7928913370866076,0.198560809794603,0.7928913370866076,0.7928913370866076,0.198560809794603,0.4814333382669432,0.4814333382669432,0.198560809794603,0.3388635707416618,0.3388635707416618,0.198560809794603,0.7928913370866076,0.7928913370866076,0.198560809794603,0.7928913370866076,0.7928913370866076,0.4814333382669432,0.5124612318141157,0.5124612318141157,0.5124612318141157,0.4024701322096387,0.4024701322096387,0.3858430733712317,0.4024701322096387,0.1589295334416491,0.4024701322096387,0.4024701322096387,0.1613362766273285,0.2694875803583055,0.4024701322096387,0.4024701322096387,0.3411815176554146,0.3411815176554146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885302614498512,0.5201588843694633,0.4885302614498512,0.310967709600111,0.3041185849381597,0.5255390420379864,0.5255390420379864,0.389525954380277,0.5797343297119489,0.3984605385317036,0.3984605385317036,0.4641140945480975,0.3688305338704452,0.0477066148268796,0.2578558846033455,0.441054727735935,0.5028607020039279,0.2578558846033455,0.4972814458446171,0.4972814458446171,0.0,0.1356062123820969,0.0,0.2145333488832614,0.198560809794603,0.0,0.1356062123820969,0.3362083844050212,0.0917220873751831,0.0,0.0917220873751831,0.7820193452654877,0.1314841934268127,0.3388635707416618,0.4814333382669432,0.4814333382669432,0.0,0.0,0.0,0.394963947361289,0.0,0.4885302614498512,0.4885302614498512,0.06231585744844,0.6413537871874881,0.1403692186769756,0.5038160538749222,0.0917220873751831,0.2145333488832614,0.0,0.1589295334416491,0.198560809794603,0.1599582255827429,0.4472321625608881,0.3388635707416618,0.7928913370866076,0.1613362766273285,0.2694875803583055,0.1562572067117351,0.1314841934268127,0.1706052304169394,0.1356062123820969,0.5080024157647421,0.394963947361289,0.3858430733712317,0.4024701322096387,0.6190656104395553,0.7820193452654877,0.4667309232187923,0.3890584990261037,0.350981178738892,0.3411815176554146,0.3375165650906886,0.3362083844050212,0.3365384307603247,0.5124612318141157,0.4814333382669432,20000,908,3,302.6666666666667,0.0454,0,1
384_UCR_id_82_Facility_tr_50000_1st_884100.csv,0.1173288953609319,0.0047346333648178,0.0028945198332223,0.0020933177553134,0.0011812928027699,0.0016148566814695,0.0016148566814695,0.0047346333648178,0.0016148566814695,0.0016148566814695,0.0047346333648178,0.0047346333648178,0.0047346333648178,0.2018927444794953,0.006253517603652,0.006253517603652,0.2018927444794953,0.0028003733831177,0.0028003733831177,0.0047346333648178,0.0016148566814695,0.0016148566814695,0.0047346333648178,0.0028003733831177,0.0028003733831177,0.0028003733831177,2.1616407897144658e-05,2.1616407897144658e-05,2.1616407897144658e-05,2.1616407897144658e-05,2.1616407897144658e-05,2.1616407897144658e-05,2.1616407897144658e-05,0.0016148566814695,0.0020933177553134,2.1616407897144658e-05,2.1616407897144658e-05,0.0005493283088104,0.0005493283088104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039713553268349,0.0070487169132493,0.0039713553268349,0.0027312088812486,0.0016563344850363,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0039713553268349,0.0,0.0073587834781864,0.004564521341636,0.0,0.0073587834781864,0.0,0.0,0.0,0.0016148566814695,0.006253517603652,0.1510621557828481,0.1510621557828481,2.1616407897144658e-05,0.0016148566814695,8.608755071298589e-05,0.1173288953609319,0.1173288953609319,0.1173288953609319,0.1173288953609319,0.0,0.0012012156302177,0.0,0.0,0.0,0.0,0.0,0.0,2.1616407897144658e-05,0.0039713553268349,0.0039713553268349,0.000111122099852,0.0397113923647847,0.0003843902456148,0.0010586379564052,0.1173288953609319,0.1510621557828481,0.0016148566814695,0.0446351931330472,0.0020933177553134,0.0001261573358598,0.2018927444794953,0.0012012156302177,0.0007397887253229,0.0022784033650265,0.001581697500353,0.0,0.0094873198321474,0.0039000975024375,0.0013722804546198,0.0019787348620521,8.608755071298589e-05,2.1616407897144658e-05,0.0014632636407124,0.0002344324647533,0.006253517603652,0.0050988890908287,0.0008910968288091,0.0009141725358215,0.0007245920309137,0.0012192360615191,0.0005493283088104,0.0011812928027699,0.0028003733831177,0.0047346333648178,900000,100,1,100.0,0.00011111111111111112,0,1
829_Exathlon_id_20_Facility_tr_10766_1st_12590.csv,0.3428884003967827,0.3621593849390965,0.2409425826156449,0.3038026379507427,0.3340519381213352,0.3428884003967827,0.3428884003967827,0.3344684561390448,0.3428884003967827,0.3428884003967827,0.3340519381213352,0.3621593849390965,0.3621593849390965,0.3353675031716905,0.3344684561390448,0.3344684561390448,0.3353675031716905,0.3428884003967827,0.3428884003967827,0.6501705896641552,0.3428884003967827,0.3428884003967827,0.3344684561390448,0.3602699271300866,0.3602699271300866,0.3344684561390448,0.3621593849390965,0.3621593849390965,0.0945277081821527,0.0945277081821527,0.1904615750389874,0.1562128409982563,0.3621593849390965,0.2665796230378546,0.1904615750389874,0.3306009573165804,0.1562128409982563,0.1562128409982563,0.1562128409982563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342911170623222,0.6025771659296759,0.3342911170623222,0.3051654274493903,0.5947208812844385,0.3347293096888362,0.3347293096888362,0.1910707118644833,0.1805771254356079,0.2768559635137028,0.2768559635137028,0.3322900718858481,0.33212802474941,0.1365391017699271,0.32253013412211,0.3342777422329114,0.3344684561390448,0.32253013412211,0.3346791793570831,0.3346791793570831,0.0,0.3038026379507427,0.3344684561390448,0.0945277081821527,0.2125560198573036,0.0945277081821527,0.3038026379507427,0.3341573591021139,0.3344684561390448,0.2665796230378546,0.3038026379507427,0.4071117699455653,0.1947603429709253,0.3341573591021139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342911170623222,0.3342911170623222,0.1602136726775529,0.5622534218665082,0.2665796230378546,0.331806605889186,0.2125560198573036,0.0945277081821527,0.0,0.2861646599470537,0.3038026379507427,0.4071117699455653,0.3353675031716905,0.3344684561390448,0.3428884003967827,0.1746700499101836,0.1947603429709253,0.1601654906693161,0.1904615750389874,0.1999697093079109,0.6501705896641552,0.3340468496778929,0.3346791793570831,0.3339465037968154,0.3306009573165804,0.3370049481584456,0.8379955716115325,0.1562128409982563,0.3256424046895304,0.321595740227351,0.3269134685696562,0.3340970657275935,0.3341573591021139,0.3340519381213352,0.3602699271300866,0.3621593849390965,43066,5437,3,1812.3333333333333,0.12624808433567083,0,1
185_SMD_id_8_Facility_tr_5000_1st_15144.csv,0.7876342353103678,0.5870965016552373,0.396945168989595,0.2472493118622983,0.2976697389021019,0.7876342353103678,0.7876342353103678,0.7876342353103678,0.7876342353103678,0.7876342353103678,0.7876342353103678,0.5870965016552373,0.5870965016552373,0.2472493118622983,0.3192546932967928,0.3192546932967928,0.2472493118622983,0.0,0.0,0.0,0.7876342353103678,0.7876342353103678,0.5870965016552373,0.6019675409650456,0.6019675409650456,0.6019675409650456,0.2519484454412042,0.2519484454412042,0.2519484454412042,0.2519484454412042,0.2519484454412042,0.2519484454412042,0.2519484454412042,0.1492022025311185,0.2426153390056687,0.130046511627907,0.130046511627907,0.3535000795326048,0.3535000795326048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012459014696079,0.3972307463658461,0.5012459014696079,0.2744330986577814,0.3130559584949327,0.5950979090858074,0.5950979090858074,0.1758882512619984,0.0179189768255033,0.3738854289880582,0.3738854289880582,0.5689514794833855,0.5689514794833855,0.0576442723645946,0.4050863784751273,0.5284309516166263,0.5728512996172964,0.4050863784751273,0.6480356810151243,0.6480356810151243,0.0,0.2519484454412042,0.1839228357179415,0.2519484454412042,0.1639698382056833,0.2519484454412042,0.2519484454412042,0.2934110777195989,0.154323494900947,0.2998686556903396,0.154323494900947,0.2998686556903396,0.2426153390056687,0.3192546932967928,0.0,0.0,0.0,0.0,0.0,0.0,0.2519484454412042,0.0236433704822414,0.0236433704822414,0.0743604613699336,0.7469354533096142,0.1492022025311185,0.5750737931519898,0.154323494900947,0.2519484454412042,0.0,0.2847810451713176,0.2472493118622983,0.1639698382056833,0.5727198583237514,0.3192546932967928,0.7876342353103678,0.1839228357179415,0.2426153390056687,0.2998686556903396,0.3103519211172411,0.2166882516175168,0.1395677634308798,0.5689514794833855,0.5726892982242245,0.568619391854027,0.130046511627907,0.5912403593487188,0.7696285575885562,0.572294592536206,0.3650076239175556,0.360991945027967,0.3535000795326048,0.3434112908716857,0.2934110777195989,0.2976697389021019,0.6019675409650456,0.5870965016552373,20000,908,3,302.6666666666667,0.0454,0,1
